part_id,part_name,object,text_count,vision_instance_count,vision_patch_count
0,aeroplane's body,aeroplane,488,461,45225
1,aeroplane's stern,aeroplane,488,413,13422
2,aeroplane's wing,aeroplane,488,412,12917
3,aeroplane's tail,aeroplane,488,1,9
4,aeroplane's engine,aeroplane,488,297,5969
5,aeroplane's wheel,aeroplane,488,231,1327
6,bicycle's wheel,bicycle,395,307,54509
7,bicycle's saddle,bicycle,395,213,2475
8,bicycle's handlebar,bicycle,395,272,4131
9,bicycle's chainwheel,bicycle,395,221,3599
10,bicycle's headlight,bicycle,395,1,42
11,bird's wing,bird,586,251,19650
12,bird's tail,bird,586,414,7299
13,bird's head,bird,586,551,17101
14,bird's eye,bird,586,235,564
15,bird's beak,bird,586,435,3411
16,bird's torso,bird,586,577,60609
17,bird's neck,bird,586,287,6558
18,bird's leg,bird,586,307,2218
19,bird's foot,bird,586,207,1301
20,bottle's body,bottle,519,473,89733
21,bottle's cap,bottle,519,385,6264
22,bus's wheel,bus,310,233,3113
23,bus's headlight,bus,310,160,754
24,bus's front,bus,310,183,23128
25,bus's side,bus,310,246,35802
26,bus's back,bus,310,53,7337
27,bus's roof,bus,310,20,871
28,bus's mirror,bus,310,118,452
29,bus's license plate,bus,310,3,7
30,bus's door,bus,310,105,3989
31,bus's window,bus,310,262,32275
32,car's wheel,car,939,533,16537
33,car's headlight,car,939,301,4615
34,car's front,car,939,367,57052
35,car's side,car,939,525,51899
36,car's back,car,939,198,25933
37,car's roof,car,939,135,2335
38,car's mirror,car,939,298,941
39,car's license plate,car,939,6,16
40,car's door,car,939,258,14172
41,car's window,car,939,552,26559
42,cat's tail,cat,914,337,9326
43,cat's head,cat,914,891,113414
44,cat's eye,cat,914,643,3908
45,cat's torso,cat,914,872,140794
46,cat's neck,cat,914,604,17008
47,cat's leg,cat,914,675,37021
48,cat's nose,cat,914,610,2035
49,cat's paw,cat,914,570,12140
50,cat's ear,cat,914,852,24004
51,cow's tail,cow,199,50,433
52,cow's head,cow,199,181,7138
53,cow's eye,cow,199,59,132
54,cow's torso,cow,199,187,26860
55,cow's neck,cow,199,80,1370
56,cow's leg,cow,199,139,4485
57,cow's ear,cow,199,137,2744
58,cow's muzzle,cow,199,161,5288
59,cow's horn,cow,199,57,511
60,dog's tail,dog,1104,377,6623
61,dog's head,dog,1104,1009,81362
62,dog's eye,dog,1104,664,2414
63,dog's torso,dog,1104,979,121111
64,dog's neck,dog,1104,454,11906
65,dog's leg,dog,1104,811,37551
66,dog's nose,dog,1104,821,5208
67,dog's paw,dog,1104,627,11251
68,dog's ear,dog,1104,900,32414
69,dog's muzzle,dog,1104,942,37936
70,horse's tail,horse,374,149,2412
71,horse's head,horse,374,284,11135
72,horse's eye,horse,374,108,230
73,horse's torso,horse,374,294,32348
74,horse's neck,horse,374,232,10857
75,horse's leg,horse,374,270,9336
76,horse's ear,horse,374,226,1639
77,horse's muzzle,horse,374,257,8397
78,horse's hoof,horse,374,128,490
79,motorbike's wheel,motorbike,391,245,26879
80,motorbike's saddle,motorbike,391,8,192
81,motorbike's handlebar,motorbike,391,13,263
82,motorbike's headlight,motorbike,391,114,1320
83,person's head,person,3266,1793,65042
84,person's eye,person,3266,589,1550
85,person's torso,person,3266,1870,144317
86,person's neck,person,3266,1064,9843
87,person's leg,person,3266,1115,61378
88,person's foot,person,3266,622,6206
89,person's nose,person,3266,1073,3868
90,person's ear,person,3266,847,2536
91,person's eyebrow,person,3266,414,972
92,person's mouth,person,3266,836,2387
93,person's hair,person,3266,1376,45619
94,person's lower arm,person,3266,1422,25297
95,person's upper arm,person,3266,1636,51538
96,person's hand,person,3266,1250,15749
97,pottedplant's pot,pottedplant,398,246,22631
98,pottedplant's plant,pottedplant,398,279,54753
99,sheep's tail,sheep,253,55,380
100,sheep's head,sheep,253,219,9171
101,sheep's eye,sheep,253,63,134
102,sheep's torso,sheep,253,236,32800
103,sheep's neck,sheep,253,158,5320
104,sheep's leg,sheep,253,53,1621
105,sheep's ear,sheep,253,173,2133
106,sheep's muzzle,sheep,253,180,4522
107,sheep's horn,sheep,253,23,531
108,train's headlight,train,401,22,163
109,train's head,train,401,221,3703
110,train's front,train,401,203,31426
111,train's side,train,401,245,43511
112,train's back,train,401,24,2452
113,train's roof,train,401,48,1712
114,train's coach,train,401,198,36044
115,tvmonitor's screen,tvmonitor,438,289,78203
