source_part_id,part_name,total,correct,hit_rate,landed_distribution
0,aeroplane's body,488,199,0.4077868852459016,aeroplane's body:0.4078(199); NONE:0.3914(191); aeroplane's wing:0.0779(38); aeroplane's engine:0.0615(30); aeroplane's stern:0.0574(28); aeroplane's wheel:0.0041(2)
1,aeroplane's stern,488,272,0.5573770491803278,aeroplane's stern:0.5574(272); NONE:0.3668(179); aeroplane's body:0.0430(21); aeroplane's wing:0.0246(12); aeroplane's engine:0.0082(4)
2,aeroplane's wing,488,6,0.012295081967213115,aeroplane's body:0.7316(357); NONE:0.1250(61); aeroplane's stern:0.1127(55); aeroplane's engine:0.0184(9); aeroplane's wing:0.0123(6)
3,aeroplane's tail,488,0,0.0,aeroplane's body:0.5471(267); NONE:0.2807(137); aeroplane's stern:0.1578(77); aeroplane's wing:0.0102(5); aeroplane's engine:0.0041(2)
4,aeroplane's engine,488,29,0.05942622950819672,aeroplane's wing:0.6066(296); NONE:0.1721(84); aeroplane's body:0.1332(65); aeroplane's engine:0.0594(29); aeroplane's stern:0.0287(14)
5,aeroplane's wheel,488,160,0.32786885245901637,NONE:0.5082(248); aeroplane's wheel:0.3279(160); aeroplane's body:0.1189(58); aeroplane's wing:0.0225(11); aeroplane's engine:0.0143(7); aeroplane's stern:0.0082(4)
6,bicycle's wheel,395,224,0.5670886075949367,bicycle's wheel:0.5671(224); NONE:0.4101(162); bicycle's chainwheel:0.0127(5); bicycle's handlebar:0.0101(4)
7,bicycle's saddle,395,1,0.002531645569620253,bicycle's wheel:0.6861(271); NONE:0.3013(119); bicycle's handlebar:0.0101(4); bicycle's saddle:0.0025(1)
8,bicycle's handlebar,395,0,0.0,NONE:0.7494(296); bicycle's chainwheel:0.1747(69); bicycle's wheel:0.0734(29); bicycle's saddle:0.0025(1)
9,bicycle's chainwheel,395,1,0.002531645569620253,NONE:0.5165(204); bicycle's wheel:0.4456(176); bicycle's handlebar:0.0203(8); bicycle's saddle:0.0152(6); bicycle's chainwheel:0.0025(1)
10,bicycle's headlight,395,0,0.0,NONE:0.5266(208); bicycle's handlebar:0.4329(171); bicycle's saddle:0.0253(10); bicycle's chainwheel:0.0076(3); bicycle's wheel:0.0076(3)
11,bird's wing,586,79,0.1348122866894198,bird's torso:0.6894(404); NONE:0.1536(90); bird's wing:0.1348(79); bird's neck:0.0137(8); bird's leg:0.0051(3); bird's head:0.0034(2)
12,bird's tail,586,1,0.0017064846416382253,bird's torso:0.5239(307); bird's neck:0.2133(125); NONE:0.1792(105); bird's head:0.0546(32); bird's wing:0.0273(16); bird's tail:0.0017(1)
13,bird's head,586,6,0.010238907849829351,bird's tail:0.4078(239); NONE:0.2628(154); bird's torso:0.2577(151); bird's wing:0.0410(24); bird's neck:0.0154(9); bird's head:0.0102(6); bird's leg:0.0034(2); bird's beak:0.0017(1)
14,bird's eye,586,0,0.0,NONE:0.4334(254); bird's foot:0.1980(116); bird's leg:0.1553(91); bird's torso:0.1314(77); bird's wing:0.0375(22); bird's tail:0.0290(17); bird's head:0.0051(3); bird's beak:0.0051(3); bird's neck:0.0051(3)
15,bird's beak,586,0,0.0,bird's torso:0.5051(296); NONE:0.2423(142); bird's wing:0.2338(137); bird's neck:0.0085(5); bird's head:0.0085(5); bird's tail:0.0017(1)
