source_part_id,part_name,total,correct,hit_rate,landed_distribution
0,aeroplane's body,56,36,0.6428571428571429,aeroplane's body:0.6429(36); aeroplane's stern:0.2321(13); NONE:0.1250(7)
1,aeroplane's stern,56,43,0.7678571428571429,aeroplane's stern:0.7679(43); NONE:0.1250(7); aeroplane's body:0.0536(3); aeroplane's wing:0.0357(2); aeroplane's engine:0.0179(1)
2,aeroplane's wing,56,8,0.14285714285714285,aeroplane's body:0.6071(34); aeroplane's wing:0.1429(8); aeroplane's stern:0.1250(7); NONE:0.0893(5); aeroplane's engine:0.0357(2)
3,aeroplane's tail,56,0,0.0,aeroplane's wing:0.5000(28); aeroplane's body:0.3214(18); aeroplane's engine:0.0893(5); NONE:0.0714(4); aeroplane's stern:0.0179(1)
4,aeroplane's engine,56,5,0.08928571428571429,aeroplane's body:0.4286(24); aeroplane's stern:0.2857(16); aeroplane's wing:0.1250(7); aeroplane's engine:0.0893(5); NONE:0.0714(4)
5,aeroplane's wheel,56,26,0.4642857142857143,aeroplane's wheel:0.4643(26); NONE:0.2857(16); aeroplane's body:0.1250(7); aeroplane's engine:0.0893(5); aeroplane's stern:0.0357(2)
6,bicycle's wheel,54,35,0.6481481481481481,bicycle's wheel:0.6481(35); NONE:0.3333(18); bicycle's chainwheel:0.0185(1)
7,bicycle's saddle,54,0,0.0,NONE:0.5000(27); bicycle's chainwheel:0.3519(19); bicycle's wheel:0.1481(8)
8,bicycle's handlebar,54,27,0.5,NONE:0.5000(27); bicycle's handlebar:0.5000(27)
9,bicycle's chainwheel,54,0,0.0,bicycle's wheel:0.5556(30); NONE:0.4444(24)
10,bicycle's headlight,54,0,0.0,NONE:0.6296(34); bicycle's wheel:0.3333(18); bicycle's saddle:0.0185(1); bicycle's handlebar:0.0185(1)
11,bird's wing,72,12,0.16666666666666666,bird's torso:0.6528(47); bird's wing:0.1667(12); NONE:0.1389(10); bird's tail:0.0278(2); bird's neck:0.0139(1)
12,bird's tail,72,0,0.0,bird's torso:0.7639(55); bird's wing:0.1528(11); NONE:0.0833(6)
13,bird's head,72,17,0.2361111111111111,bird's torso:0.4028(29); bird's neck:0.2361(17); bird's head:0.2361(17); NONE:0.1111(8); bird's wing:0.0139(1)
14,bird's eye,72,0,0.0,bird's beak:0.5972(43); bird's head:0.1944(14); NONE:0.1528(11); bird's neck:0.0278(2); bird's torso:0.0139(1); bird's wing:0.0139(1)
15,bird's beak,72,0,0.0,bird's head:0.4722(34); bird's eye:0.3194(23); bird's wing:0.1111(8); NONE:0.0972(7)
16,bird's torso,72,42,0.5833333333333334,bird's torso:0.5833(42); bird's wing:0.2361(17); NONE:0.1667(12); bird's head:0.0139(1)
17,bird's neck,72,2,0.027777777777777776,bird's head:0.6111(44); bird's torso:0.1944(14); NONE:0.1111(8); bird's wing:0.0556(4); bird's neck:0.0278(2)
18,bird's leg,72,1,0.013888888888888888,bird's torso:0.4306(31); bird's tail:0.3194(23); NONE:0.1528(11); bird's wing:0.0694(5); bird's leg:0.0139(1); bird's head:0.0139(1)
19,bird's foot,72,24,0.3333333333333333,bird's foot:0.3333(24); NONE:0.1944(14); bird's leg:0.1528(11); bird's torso:0.1528(11); bird's wing:0.0972(7); bird's tail:0.0556(4); bird's head:0.0139(1)
20,bottle's body,61,45,0.7377049180327869,bottle's body:0.7377(45); NONE:0.2623(16)
21,bottle's cap,61,8,0.13114754098360656,bottle's body:0.6393(39); NONE:0.2295(14); bottle's cap:0.1311(8)
22,bus's wheel,44,28,0.6363636363636364,bus's wheel:0.6364(28); NONE:0.2955(13); bus's side:0.0455(2); bus's window:0.0227(1)
23,bus's headlight,44,0,0.0,NONE:0.4091(18); bus's side:0.2045(9); bus's window:0.1818(8); bus's front:0.1591(7); bus's back:0.0455(2)
24,bus's front,44,9,0.20454545454545456,NONE:0.4091(18); bus's side:0.2045(9); bus's front:0.2045(9); bus's window:0.0682(3); bus's back:0.0455(2); bus's mirror:0.0455(2); bus's door:0.0227(1)
25,bus's side,44,23,0.5227272727272727,bus's side:0.5227(23); NONE:0.2500(11); bus's door:0.1591(7); bus's front:0.0455(2); bus's window:0.0227(1)
26,bus's back,44,1,0.022727272727272728,bus's side:0.3636(16); NONE:0.3182(14); bus's front:0.1591(7); bus's window:0.1136(5); bus's door:0.0227(1); bus's back:0.0227(1)
27,bus's roof,44,0,0.0,bus's window:0.4091(18); NONE:0.2955(13); bus's side:0.1591(7); bus's front:0.0909(4); bus's door:0.0455(2)
28,bus's mirror,44,0,0.0,NONE:0.3409(15); bus's side:0.3182(14); bus's front:0.2727(12); bus's back:0.0455(2); bus's wheel:0.0227(1)
29,bus's license plate,44,0,0.0,bus's window:0.6364(28); NONE:0.3182(14); bus's side:0.0227(1); bus's door:0.0227(1)
30,bus's door,44,0,0.0,bus's front:0.5000(22); NONE:0.2727(12); bus's side:0.0909(4); bus's back:0.0682(3); bus's window:0.0455(2); bus's headlight:0.0227(1)
31,bus's window,44,0,0.0,bus's side:0.4545(20); NONE:0.2727(12); bus's front:0.2045(9); bus's back:0.0682(3)
32,car's wheel,80,38,0.475,NONE:0.4750(38); car's wheel:0.4750(38); car's front:0.0250(2); car's mirror:0.0125(1); car's back:0.0125(1)
33,car's headlight,80,0,0.0,NONE:0.5125(41); car's side:0.1375(11); car's front:0.1125(9); car's back:0.1000(8); car's window:0.0750(6); car's door:0.0500(4); car's roof:0.0125(1)
